#	Labrune - C:\Users\FH\OneDrive\Games\NFSCO\Project Localization\Organiaztion\vanilla_loc\LANGUAGE\Mexican_InGame.bin
#	File created on: 19.04.2026 16:38:23
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	DISTANCIA PROM
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*ÁREA CONQUISTADA*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	¿Te gustaría utilizar este coche para iniciar tu carrera?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	COLISIÓN %$d PTS
0	AUTO	POSTRACE_CREW_INVITE	Invitación a Cuadrilla
0	AUTO	HUD_YOUR_TIME	TU TIEMPO:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	SALIR AL MODO DE EXPLORACIÓN
0	AUTO	HUD_SHIFT_PERFECT	¡CAMBIO PERFECTO!
0	AUTO	HUD_DRIFT_KEEP_MOVING	¡SIGUE ADELANTE!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	META LOGRADA
0	AUTO	HUD_WRNONG_WAY	¡SENTIDO CONTRARIO!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	TERMINO DERRAPE
0	AUTO	QR_GHOST_UPLOAD	¡Felicidades, has establecido una nueva puntuación de los 3 más altos para esta pista! ¡Un Coche Sombra de tu actuación se está cargando en la Tabla de Posiciones del servidor de NeedforSpeed.com para que otros lo reten!
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	ETAPA 1 DE 2
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	¡ENTRADA PERFECTA!
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	ZONAS DE RADAR
0	AUTO	SMS_FROM	De:
0	AUTO	SMS_TEXT	Texto
0	AUTO	HUD_DRIFT_POINTS_EARNED	PTS GANADOS
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s HA GANADO*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	¡SE ESTRELLÓ TU OPONENTE!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	PIERDES
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	¿Estás seguro que quieres entrar al Lote de Coches?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	Esperando otros oponentes:
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	¡Superaste la puntuación más alta para esta pista!
0	AUTO	OL_NEW_GHOST	NUEVO COCHE SOMBRA
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	¿Estás seguro de que quieres salir al Modo de Exploración?^Todo progreso se perderá.
0	AUTO	HUD_COPDESTROYED_COPSUVL	RECOMPENSA SUV LIGERO^COMBO: %$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	Ir a la Guarida
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	Ver los Puntos de Control
0	AUTO	HUD_CANYON_RATING_0	¡APÚRATE!
0	AUTO	HUD_CANYON_RATING_1	LENTO
0	AUTO	HUD_CANYON_RATING_2	PROMEDIO
0	AUTO	HUD_CANYON_RATING_3	¡BUENO!
0	AUTO	HUD_CANYON_RATING_4	¡GRANDIOSO!
0	AUTO	HUD_CANYON_RATING_5	¡INCREÍBLE!^
0	AUTO	HUD_SHIFT_EARLY	¡CAMBIO MUY PRONTO!
0	AUTO	MENU_POSTRACE_STAGES_TITLE	*ETAPAS*
0	AUTO	MENU_POSTRACE_TRAFFIC_COLLISIONS	COLISIONES DE TRÁFICO
0	AUTO	MENU_POSTRACE_VIEW_LAPS	Ver Vueltas
0	AUTO	HUD_DRIFT_SCORING_ZONE_START	¡INICIO EN LA ZONA DE ANOTACIÓN!
0	AUTO	MENU_POSTRACE_REP_REWARD	Recompensa de Rep
0	AUTO	HUD_SHIFT_GOOD	¡BUEN CAMBIO!
0	AUTO	HUD_DRIFT_GREAT_DRIFT	GRAN DERRAPE
0	AUTO	MENU_POSTRACE_CASH_REWARD	Recompensa en Efectivo
0	AUTO	WORLDMAP_INFO_RANDOM_ENCOUNTER	*RETO DE CUADRILLA*
0	AUTO	MENU_POSTRACE_FINALIZEING_SCORE	Esperando los resultados finales
0	AUTO	HUD_DRIFT_NICE_DRIFT	BUEN DERRAPE
0	AUTO	OL_SAVE_GHOST	COCHE SOMBRA
0	AUTO	MENU_PAUSE_WORLD_MAP	MAPA MUNDIAL
0	AUTO	HUD_GPS_CONNECTION_LOST_RECONNECTING	SE PERDIÓ LA CONEXIÓN GPS^RECONECTANDO...
0	AUTO	MENU_POSTRACE_SCORE_WIN	Supera la puntuación de tu oponente
0	AUTO	MENU_POSTRACE_PLAYER_TIMOUT_AHEAD	¡REBASASTE A TU OPONENTE!
0	AUTO	MENU_POSTRACE_TESTDRIVE_COMPLETE	PRUEBA DE MANEJO COMPLETADA
0	AUTO	PURSUIT_REWARD_CARD_UNLOCKED	¡TARJETA DE RECOMPENSA DESBLOQUEADA!
0	AUTO	MENU_POSTRACE_VIEW_SUMMARY	Ver Resumen
0	AUTO	HUD_CHECKPOINT	CONTROL
0	AUTO	HUD_BOUNTY	RECOMPENSA
0	AUTO	MENU_POSTRACE_WIN	*TU CUADRILLA GANÓ*
0	AUTO	HUD_TUTORIAL_GOOD_JOB	¡BUEN TRABAJO!
0	AUTO	HUD_TUTORIAL_PRESS_NOW	ACTIVAR AHORA^Oprime el Botón Activar Miembro de la Cuadrilla
