#	Labrune - C:\Users\FH\OneDrive\Games\NFSCO\Project Localization\Organiaztion\vanilla_loc\LANGUAGE\brportuguese_Frontend.bin
#	File created on: 19.04.2026 17:30:24
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	0000EB31	0x0000EB31	VIS RACING
0	000F92E6	0x000F92E6	RODAS FRONTAIS
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*TRANSFORMAR VINIL*
0	0024F08F	0x0024F08F	ROTORES
0	0040051D	0x0040051D	Nissan Silvia 200SX
0	0044902F	0x0044902F	NEON PULSANTE
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	ELIMINADO
0	AUTO	MENU_CREW_LOGO	LOGO DA EQUIPE
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	01238292	0x01238292	INTERIOR
0	015BA29E	0x015BA29E	BOMEX CF
0	AUTO	MARKER_CATEGORY_DESC_MISC	Esses cartões incluem bônus em dinheiro, passes para sair da prisão, cartões de strike extra e o documento do carro do Chefão que você acabou de derrotar.
0	AUTO	DEMO_CUSTOMIZATION_SELL	'Autosculpt' permite que você personalize seu carro ao criar suas próprias peças.^Você pode modificar parachoques, capôs, aerofólios, entradas de ar entre outras opçöes.
0	01E0E322	0x01E0E322	VIS
0	01EFEF89	0x01EFEF89	STOCK CF
0	01EFEF8A	0x01EFEF8A	CHARGESPEED
0	01EFEF8B	0x01EFEF8B	INGS+1
0	01EFEF8C	0x01EFEF8C	EXTREME DIMENSIONS
0	01EFEF8D	0x01EFEF8D	N4S
0	01EFEF8E	0x01EFEF8E	MAD MIKE
0	01EFEF91	0x01EFEF91	GLASS
0	02140A99	0x02140A99	DUCKTAIL FC
0	023972DA	0x023972DA	C-WEST
0	023D7DB0	0x023D7DB0	ADR
0	02A0C87C	0x02A0C87C	RACINGHART
0	AUTO	CHAL_COMPLETED	Completado
0	02CA2244	0x02CA2244	STANCE
0	02D21367	0x02D21367	CAMBAGEM - FRONTAL
0	02D21368	0x02D21368	CAMBAGEM - TRASEIRA
0	02D21369	0x02D21369	ALARGAMENTO DE EIXO - FRONTAL
0	02D2136A	0x02D2136A	ALARGAMENTO DE EIXO - TRASEIRO
0	02D2136B	0x02D2136B	ESPESSURA DO PNEU - FRONTAL
