#	Labrune - C:\Users\FH\OneDrive\Games\NFSCO\Project Localization\Organiaztion\vanilla_loc\LANGUAGE\Mexican_Frontend.bin
#	File created on: 19.04.2026 16:37:47
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Frontend
0	AUTO	CUST_VINYLS_TRANSFORM_TITLE	*TRANSFORMACIÓN DE VINILO*
0	AUTO	ON_STAT_HEADER_KNOCKOUTS	Eliminaciones
0	AUTO	MENU_CREW_LOGO	LOGOTIPO DE LA CUADRILLA
0	AUTO	CARNAME_MAZDA_RX7	Mazda RX-7
0	AUTO	MARKER_CATEGORY_DESC_MISC	Estos marcadores incluyen bonificaciones en efectivo, pases para salir de la cárcel, órdenes de embargo extra y el título del coche del jefe al cual acabas de derrotar.
0	AUTO	DEMO_CUSTOMIZATION_SELL	Autosculpt™ te permite personalizar tu automóvil fabricando tus propias refacciones.^Puedes modificar juegos de carrocería, llantas, cofres, Spoiler y tomas de aire del techo para crear exactamente el auto que quieres.^También pinta tu coche, agrega vinilos personalizados, pégale calcomanías e instala partes de alto rendimiento para crear tu identidad pandillera Tuner, Muscle o Exotic.
0	AUTO	CHAL_COMPLETED	Completado
0	AUTO	MC_CONFIRM_CREATE_PROFILE	¿Quieres crear un alias nuevo? Si no creas un alias nuevo, se pueden perder los cambios.
0	AUTO	CHAL_SELECT_CREW_MODE	Selecciona el Modo de Reto de la Cuadrilla
0	AUTO	CUST_PARTS_WHEELS_TITLE	*LLANTAS*
0	AUTO	MARKER_NAME_TRANSMISSION	Mejora Única de Transmisión
0	AUTO	CUST_VINYLS_COLOUR_TITLE	*PINTURA DE VINILO*
0	AUTO	CARNAME_DODGE_VINTAGE_CHARGER69	Dodge Charger R/T
0	AUTO	SHOPPING_CART_DLG_NO_CASH	No tienes suficiente efectivo para todas estas refacciones. Por favor retira algunos artículos del carrito de compras.
0	AUTO	CARNAME_MERCEDES_CLK500	Mercedes-Benz CLK 500
0	AUTO	LANG_FINNISH	Finlandés
0	AUTO	MARKER_NAME_DESCRIPTION_HUD	Una mejora única de los medidores de cualquiera de tus coches.
0	AUTO	MARKER_NAME_DESCRIPTION_NOS	Una mejora única del nitroso de cualquiera de tus coches.
0	AUTO	STAT_PERC_AS_POLICE	%% Como Policía
0	AUTO	HELP_RACE	Carrera
0	AUTO	RC_WIN_05_CAREER_RACES_DESCRIPTION	Necesitas ganar cinco carreras en tu carrera personal
0	AUTO	CHAL_SOLO_CHALLENGE	Reto Sólo
0	AUTO	MENU_MAIN_TITLE_CAREER	*CARRERA*
0	AUTO	STAT_NUM_TIMES_BUSTED	Número de Veces Arrestado
