#	Labrune - C:\Users\FH\OneDrive\Games\NFSCO\Project Localization\Organiaztion\vanilla_loc\LANGUAGE\brportuguese_InGame.bin
#	File created on: 19.04.2026 17:30:48
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - InGame
0	AUTO	MENU_POSTRACE_AVERAGE_DRIFT_LENGTH	DISTÂNCIA MÉDIA
0	AUTO	WM_ACQUISITION_AREA_CONQUERED	*ÁREA CONQUISTADA*
0	AUTO	MENU_POSTRACE_CAR_CLASS_SELECT	Usar este carro para a carreira?
0	AUTO	HUD_CANYON_COLLISION_PENALTY	COLISÃO %$d PTS
0	AUTO	POSTRACE_CREW_INVITE	Convite para Equipe
0	AUTO	HUD_YOUR_TIME	TEMPO:
0	AUTO	MENU_PAUSE_QUIT_TO_FREEROAM	MODO DE EXPLORAÇÃO
0	AUTO	HUD_SHIFT_PERFECT	TROCA PERFEITA!
0	AUTO	HUD_DRIFT_KEEP_MOVING	CONTINUE!
0	AUTO	PURSUIT_MILESTONE_ACHIEVED	META ATINGIDA
0	AUTO	HUD_WRNONG_WAY	CONTRAMÃO!
0	AUTO	HUD_DRIFT_DRIFT_ENDED	DRIFT ENCERRADO
0	AUTO	QR_GHOST_UPLOAD	Congratulations you've set a new top 3 high score for this track! A Shadow of your performance is uploading to the NeedforSpeed.com Leaderboard for others to challenge!
0	AUTO	MENU_POSTRACE_CANYON_SECTION_ONE_COMPLETE	ESTÁGIO 1 DE 2
0	AUTO	HUD_DRIFT_PERFECT_ENTRY	ENTRADA PERFEITA!
0	AUTO	MENU_POSTRACE_SPEEDTRAPS	RADARES
0	AUTO	SMS_FROM	DE:
0	AUTO	SMS_TEXT	Texto
0	AUTO	HUD_DRIFT_POINTS_EARNED	PONTOS GANHOS
0	AUTO	MENU_POSTRACE_CREW_WIN	*%s VENCEU*
0	AUTO	MENU_POSTRACE_OPP_OVERBOARD	OPONENTE CAIU!
0	AUTO	HEADER_POSTRACE_CROSS_LOSE	VOCÊ PERDEU
0	AUTO	DIALOG_MSG_CONFIRM_ENTER_CARLOT	Entrar na concessionária?
0	AUTO	MENU_POSTRACE_WAITING_FOR_OTHER_OPPONENTS	Esperando Os Outros Oponentes
0	AUTO	DEMO_BEAT_CANYON_HIGH_SCORE	Novo recorde na pista!
0	AUTO	OL_NEW_GHOST	NOVA SOMBRA
0	AUTO	DIALOG_MSG_CONFIRM_QUIT_TO_FREEROAM	Ir para o modo de exploração?^Progresso da corrida será perdido.
0	AUTO	HUD_COPDESTROYED_COPSUVL	SUV LEVE^RECOMPENSA: %$d
0	AUTO	DIALOG_MSG_JUMP_TO_SAFEHOUSE	Esconderijo
0	AUTO	MENU_POSTRACE_VIEW_CHECKPOINTS	Ver Pontos de Controle
