#	Labrune - C:\Users\FH\OneDrive\Games\NFSCO\Project Localization\Organiaztion\vanilla_loc\LANGUAGE\Mexican_Global.bin
#	File created on: 19.04.2026 16:38:12
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	AD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Activar Miembro de Cuadrilla
0	AUTO	PART_PERF_NITROUS_1	Juego de Inyección Seca de Nitroso
0	AUTO	PART_PERF_NITROUS_2	Juego de Purga de Nitroso
0	AUTO	PART_PERF_NITROUS_3	Botella de 10 lb. de Nitroso
0	AUTO	PART_PERF_NITROUS_4	Juego de Inyección Húmeda de Nitroso
0	AUTO	PART_PERF_NITROUS_5	Calefactor de Botella de Nitroso
0	AUTO	PART_PERF_NITROUS_6	Botella de 15 lb. de Nitroso
0	AUTO	PART_PERF_NITROUS_7	Juego de puerto directo de nitroso
0	AUTO	PART_PERF_NITROUS_8	Controlador de Presión de Nitroso
0	AUTO	PART_PERF_NITROUS_9	Botella de 20 lb. de Nitroso
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240 SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Vinilo Infierno
0	AUTO	RCO_REWARD_003	Vinilo Rotor4
0	AUTO	RCO_REWARD_004	Llantas BBS RX
0	AUTO	RCO_REWARD_005	Vinilo Los Colibris
0	AUTO	RCO_REWARD_006	Llantas BBS CH
0	AUTO	RCO_REWARD_007	Llantas BBS LM
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Vinil Muuu!
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	PERSECUCIÓN
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	ACERCAR
0	AUTO	STAT_NUM_TIMES_RACED	No. de Carreras Jugadas
0	AUTO	TIP_CREWS_HEADER	ADMINISTRACIÓN DE CUADRILLAS
0	AUTO	PART_SPOILER_0	Existencia
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Escondite
0	AUTO	UNLOCKABLE_INFINITE_SPEEDBREAKER	¡Ralentizador de Tiempo Infinito!
0	AUTO	VINYL_PART_AFTERMARKET_CLUTCHMASTERS	CLUTCHMASTERS
0	AUTO	LANG_RUSSIAN_NO_TRANSLATION	Русский
0	AUTO	VINYL_PART_AFTERMARKET_KAIZER	KAIZER
0	AUTO	VINYL_PART_AFTERMARKET_NEUSPEED	NEUSPEED
0	AUTO	OPTIONS_PC_MOTION_BLUR	Movimiento Borroso^
