#	Labrune - C:\Users\FH\OneDrive\Games\NFSCO\Project Localization\Organiaztion\vanilla_loc\LANGUAGE\brportuguese_Global.bin
#	File created on: 19.04.2026 17:30:34
#
#Chunk	Hash (HEX)	Label	Value
# ---------------------------------------------------------------------------------------------------------
# Chunk 0 - Global
0	AUTO	HD	HD
0	AUTO	GAME_ACTION_CREWDEFENSIVE	Ativar Membro de Equipe
0	AUTO	PART_PERF_NITROUS_1	Nitro de Ativação Seca
0	AUTO	PART_PERF_NITROUS_2	Purge de Nitro
0	AUTO	PART_PERF_NITROUS_3	Garrafa de Nitro de 10 lb
0	AUTO	PART_PERF_NITROUS_4	Nitro de Ativação Úmida
0	AUTO	PART_PERF_NITROUS_5	Aquecedor de Garrafa de Nitro
0	AUTO	PART_PERF_NITROUS_6	Garrafa de Nitro de 15 lb
0	AUTO	PART_PERF_NITROUS_7	Nitro de Porte Direito
0	AUTO	PART_PERF_NITROUS_8	Controlador ^de Pressão de Nitro
0	AUTO	PART_PERF_NITROUS_9	Garrafa de Nitro de 20 lb
0	AUTO	VINYL_PART_AFTERMARKET_INTRAX	INTRAX
0	AUTO	CARNAME_NISSAN_240SX	Nissan 240SX
0	AUTO	CARNAME_MAZDA_RX8	Mazda RX-8
0	00B7B239	0x00B7B239	FORZA X360
0	00B7B23A	0x00B7B23A	FORZA PC
0	00B7B23B	0x00B7B23B	CUSTOM SINGLE
0	00B7B23C	0x00B7B23C	CUSTOM DOUBLE
0	AUTO	RCO_REWARD_001	Pontiac GTO
0	AUTO	RCO_REWARD_002	Vinil Inferno
0	AUTO	RCO_REWARD_003	Vinil Rotor4
0	AUTO	RCO_REWARD_004	Rodas BBS RX
0	AUTO	RCO_REWARD_005	Vinil Los Colibris
0	AUTO	RCO_REWARD_006	Rodas BBS CH
0	AUTO	RCO_REWARD_007	Rodas BBS LM
0	AUTO	RCO_REWARD_008	Toyota MR2
0	AUTO	RCO_REWARD_009	Vinil Mooo!
0	AUTO	RCO_REWARD_010	Porsche 911 GT3 RS
0	AUTO	SMS_MESSAGE_032_SUBJECT	PERSEGUIÇÕES
0	AUTO	VINYL_PART_MANUFACTURER_CORVETTE	CORVETTE
0	AUTO	DEMO_CUSTOMIZATION_ZOOM	Zoom
0	AUTO	STAT_NUM_TIMES_RACED	Vezes que Jogou
0	AUTO	TIP_CREWS_HEADER	GERENCIANDO GANGUES^
0	AUTO	PART_SPOILER_0	ORIGINAL
0	AUTO	PART_SPOILER_1	JORGEN
0	AUTO	PART_SPOILER_2	ROCKER 5
0	AUTO	PART_SPOILER_3	AIRFORCE
0	AUTO	PART_SPOILER_4	ARROW
0	AUTO	PART_SPOILER_5	BARRACUDA
0	AUTO	PART_SPOILER_6	WILDFIRE
0	AUTO	PART_SPOILER_7	RIPPER
0	AUTO	PART_SPOILER_8	REAPER
0	AUTO	PART_SPOILER_9	BORRA
0	AUTO	COMMON_LOCATION_HIDING_SPOT	Ponto Cego
0	02F8BAC8	0x02F8BAC8	1048STYLE
0	02F90232	0x02F90232	BLITZ
0	02F90523	0x02F90523	NFS CARBON
0	02F9098A	0x02F9098A	DCSPORTS
0	02F90AAB	0x02F90AAB	DO-LUCK
0	02F90AFC	0x02F90AFC	DONZ
0	02F91234	0x02F91234	FIDANZA
0	02F9182D	0x02F9182D	GREDDY
0	02F91B96	0x02F91B96	HKS
0	02F91CBA	0x02F91CBA	H-TUNE
0	02F91FF8	0x02F91FF8	ILLEST
0	02F9238F	0x02F9238F	K&N
0	02F924BE	0x02F924BE	JAPAN TUNING
0	02F92750	0x02F92750	KKICKER
0	02F929C3	0x02F929C3	KVR
0	02F94548	0x02F94548	RE-AMEMIYA
0	02F94786	0x02F94786	REVENGE
